2025-26 — Keldon Johnson, San Antonio Spurs (Voting)

2024-25 — Payton Pritchard, Boston Celtics (Voting)

2023-24 — Naz Reid, Minnesota Timberwolves (Voting)

2022-23 — Malcolm Brogdon, Boston Celtics (Voting)

2021-22 — Tyler Herro, Miami Heat (Voting)

2020-21 — Jordan Clarkson, Utah Jazz (Voting)

2019-20 — Montrezl Harrell, LA Clippers (Voting)

2018-19 — Lou Williams, LA Clippers (Voting)

2017-18 — Lou Williams, LA Clippers (Voting)

2016-17 — Eric Gordon, Houston Rockets (Voting)

2015-16 — Jamal Crawford, LA Clippers (Voting)

2014-15 — Lou Williams, Toronto Raptors

2013-14 — Jamal Crawford, LA Clippers

2012-13 — J.R. Smith, New York Knicks

2011-12 — James Harden, Oklahoma City Thunder

2010-11 — Lamar Odom, Los Angeles Lakers

2009-10 — Jamal Crawford, Atlanta Hawks

2008-09 — Jason Terry, Dallas Mavericks

2007-08 — Manu Ginobili, San Antonio Spurs

2006-07 — Leandro Barbosa, Phoenix Suns

2005-06 — Mike Miller, Memphis Grizzlies

2004-05 — Ben Gordon, Chicago Bulls

2003-04 — Antawn Jamison, Dallas Mavericks

2002-03 — Bobby Jackson, Sacramento Kings

2001-02 — Corliss Williamson, Detroit Pistons

2000-01 — Aaron McKie, Philadelphia 76ers

1999-00 — Rodney Rogers, Phoenix Suns

1998-99 — Darrell Armstrong, Orlando Magic

1997-98 — Danny Manning, Phoenix Suns

1996-97 — John Starks, New York Knicks

1995-96 — Toni Kukoc, Chicago Bulls

1994-95 — Anthony Mason, New York Knicks

1993-94 — Dell Curry, Charlotte Hornets

1992-93 — Clifford Robinson, Portland Trail Blazers

1991-92 — Detlef Schrempf, Indiana Pacers

1990-91 — Detlef Schrempf, Indiana Pacers

1989-90 — Ricky Pierce, Milwaukee Bucks

1988-89 — Eddie Johnson, Phoenix Suns

1987-88 — Roy Tarpley, Dallas Mavericks

1986-87 — Ricky Pierce, Milwaukee Bucks

1985-86 — Bill Walton, Boston Celtics

1984-85 — Kevin McHale, Boston Celtics

1983-84 — Kevin McHale, Boston Celtics

1982-83 — Bobby Jones, Philadelphia 76ers
